,_id,timestamp,device_id,double_frequency,double_decibels,double_rms,is_silent,silence_threshold
54,55,1411637408992.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,28.13093614584809,290.0482329381711,1,939.0
55,56,1411637419591.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,107.0,28.030131653057623,273.843575457677,1,929.0
56,57,1411637431034.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,100.0,29.057359014631096,262.09866641686676,1,918.0
57,58,1411637442141.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,104.0,29.02732997992244,271.9951522494881,1,908.0
58,59,1411637452625.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,25.533027444916016,329.0664595625446,1,898.0
59,60,1411637463276.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,28.72537377824186,291.49849169373454,1,890.0
60,61,1411637474380.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,111.0,26.74673365290172,301.8610741266861,1,881.0
61,62,1411637484822.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,27.44245609935343,288.56205102484745,1,873.0
62,63,1411637495388.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,26.446506732105128,299.12959960711197,1,865.0
63,64,1411637505876.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,86.0,31.11863115973439,229.5968935045604,1,857.0
64,65,1411637516464.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,27.153820978257084,311.09517498557506,1,848.0
65,66,1411637526880.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,27.612711292785157,302.7683956242608,1,841.0
66,67,1411637537578.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,125.0,30.231175374456146,249.79013239728977,1,834.0
67,68,1411637548247.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,28.178381622746734,333.0321054290829,1,826.0
68,69,1411637558682.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,30.16257964073947,243.8333662636683,1,820.0
69,70,1411637569068.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,159.0,28.6317826818629,303.7034500796423,1,813.0
70,71,1411637579977.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,28.308484097037105,290.09845595815494,1,807.0
71,72,1411637590948.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,28.937860797747096,259.89229874015973,1,800.0
72,73,1411637601796.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,28.960141843666744,298.1437355806293,1,794.0
73,74,1411637612170.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,173.0,24.43732842927202,263.7518685755294,1,788.0
74,75,1411637622587.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,107.0,11.567672458845795,1696.920765957415,0,782.0
75,76,1411637633177.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,295.0,7.886998099668219,2886.5182637679554,0,800.0
